Column1,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url,Artist Entity,Unnamed: 0
142.0,18070,John Bacon,,1740–1799,17400.0,17990.0,,,http://www.tate.org.uk/art/artists/john-bacon-18070,,
145.0,12918,Ruth Baehnisch,,1910–1997,19100.0,19970.0,,,http://www.tate.org.uk/art/artists/ruth-baehnisch-12918,Q94774202,
242.0,2618,A. Belloguet,,19th century,18000.0,18990.0,,,http://www.tate.org.uk/art/artists/a-belloguet-2618,,
244.0,18264,Nikolaj Bendix Skyum Larsen,,born 1971,19710.0,,,,http://www.tate.org.uk/art/artists/nikolaj-bendix-skyum-larsen-18264,Q38054711,
255.0,18242,Caroline Bergvall,,born 1962,19620.0,,,,http://www.tate.org.uk/art/artists/caroline-bergvall-18242,Q5044980,
684.0,3807,Samuel Cooper,,1609–1672,16090.0,16720.0,,,http://www.tate.org.uk/art/artists/samuel-cooper-3807,Q1382316,
922.0,12074,Gaspard Dughet,,1615–1675,16150.0,16750.0,,,http://www.tate.org.uk/art/artists/gaspard-dughet-12074,Q741375,
979.0,14308,Eugenio Espinoza,,born 1950,19500.0,,,,http://www.tate.org.uk/art/artists/eugenio-espinoza-14308,Q77349603,
1160.0,6642,Josif Gerasimovich,,,,,,,http://www.tate.org.uk/art/artists/josif-gerasimovich-6642,,
1344.0,18244,Lawrence Abu Hamdan,,born 1985,19850.0,,,,http://www.tate.org.uk/art/artists/lawrence-abu-hamdan-18244,Q28124166,
1440.0,3819,Stephen Herwijck,,c.1530–1567,15300.0,15670.0,,,http://www.tate.org.uk/art/artists/stephen-van-herwijck-3819,Q7615415,
1448.0,2259,Highmore,,,,,,,http://www.tate.org.uk/art/artists/highmore-family-2259,,
1540.0,13334,Enrique Huerta,,,,,,,http://www.tate.org.uk/art/artists/enrique-huerta-13334,Q29419664,
1584.0,4561,Inventory,,founded 1996,19960.0,,,,http://www.tate.org.uk/art/artists/inventory-4561,,
1593.0,5741,Sergei Ivanov,,1885–1942,18850.0,19420.0,,,http://www.tate.org.uk/art/artists/sergei-ivanov-5741,,
1672.0,3092,K.O.S.,,,,,,,http://www.tate.org.uk/art/artists/kos-3092,,
1719.0,5676,Georgii Kibardin,,1903–63,19030.0,19630.0,,,http://www.tate.org.uk/art/artists/georgii-kibardin-5676,,
1760.0,17121,Nikolai Kochergin,,1897 – 1974,18970.0,19740.0,,,http://www.tate.org.uk/art/artists/nikolai-kochergin-17121,Q43906005,
1762.0,5645,Nikolai Kogout,,1891–1959,18910.0,19590.0,,,http://www.tate.org.uk/art/artists/nikolai-kogout-5645,Q15068972,
1785.0,17127,Vladimir Kozlinsky,,1891 – 1967,18910.0,19670.0,,,http://www.tate.org.uk/art/artists/vladimir-kozlinsky-17127,,
1803.0,10957,KwieKulik,,"born 1945, born 1947",19450.0,,,,http://www.tate.org.uk/art/artists/kwiekulik-przemyslaw-kwiek-zofia-kulik-10957,,
1815.0,2633,Lairesse,,,,,,,http://www.tate.org.uk/art/artists/lairesse-2633,Q533958,
1860.0,1474,Robin Laurie,,,,,,,http://www.tate.org.uk/art/artists/robin-laurie-1474,,
1876.0,17924,David Le Marchand,,1674–1726,16740.0,17260.0,,,http://www.tate.org.uk/art/artists/david-le-marchand-17924,,
1880.0,17197,Hubert Le Sueur,,c.1590 – after 1658,15900.0,16580.0,,,http://www.tate.org.uk/art/artists/hubert-le-sueur-17197,Q3142050,
1889.0,5813,Alexander Lebedev,,,,,,,http://www.tate.org.uk/art/artists/alexander-lebedev-5813,Q16670267,
1974.0,1138,London Gallery,,"born ?, born 1948",19480.0,,,,http://www.tate.org.uk/art/artists/the-london-gallery-vaughan-grylls-nicholas-wegner-1138,,
2017.0,1542,Alex Mackay,,,,,,,http://www.tate.org.uk/art/artists/alex-mackay-1542,,
2083.0,2515,A Marsingall,,19th century,18000.0,18990.0,,,http://www.tate.org.uk/art/artists/a-marsingall-2515,,
2091.0,2581,J. Martin  of Canterbury,,19th century,18000.0,18990.0,,,http://www.tate.org.uk/art/artists/j-martin-of-canterbury-2581,,
2107.0,2516,E. Masters,,19th century,18000.0,18990.0,,,http://www.tate.org.uk/art/artists/e-masters-2516,,
2162.0,17135,Dmitrii Melnikov,,1899 – 1962,18990.0,19620.0,,,http://www.tate.org.uk/art/artists/dmitrii-melnikov-17135,,
2169.0,2538,Francis Merivale,,,,,,,http://www.tate.org.uk/art/artists/francis-merivale-2538,,
2238.0,5648,Dmitrii Moor,,1883–1946,18830.0,19460.0,,,http://www.tate.org.uk/art/artists/dmitrii-moor-5648,Q504262,
2413.0,17008,James Orrock,,1829–1913,18290.0,19130.0,,,http://www.tate.org.uk/art/artists/james-orrock-17008,Q6140661,
2443.0,18372,Sylvia Pankhurst,,1882 – 1960,18820.0,19600.0,,,http://www.tate.org.uk/art/artists/sylvia-pankhurst-18372,Q298213,
2471.0,18267,Pallavi Paul,,born 1986,19860.0,,,,http://www.tate.org.uk/art/artists/pallavi-paul-18267,,
2481.0,11736,Osmar Peçanha,,born 1926,19260.0,,,,http://www.tate.org.uk/art/artists/osmar-pecanha-11736,,
2526.0,5673,Sergei Ivanovich Pichugin,,1881–1971,18810.0,19710.0,,,http://www.tate.org.uk/art/artists/sergei-ivanovich-pichugin-5673,,
2541.0,11741,Paulo Pires,,born 1928,19280.0,,,,http://www.tate.org.uk/art/artists/paulo-pires-11741,Q77288304,
2552.0,12600,Olivia Plender,,born 1977,19770.0,,,,http://www.tate.org.uk/art/artists/olivia-plender-12600,,
2558.0,1783,Anne and Patrick Poirier,,"born 1942, born 1942",19420.0,,,,http://www.tate.org.uk/art/artists/anne-poirier-and-patrick-poirier-1783,,
2613.0,15967,R. H. Quaytman,,born 1961,19610.0,,"Boston, United States",,http://www.tate.org.uk/art/artists/r-h-quaytman-15967,Q13560749,
2648.0,18896,Hester Reeve,,born 1965,19650.0,,,,http://www.tate.org.uk/art/artists/hester-reeve-18896,,
2667.0,1830,Ingmar Reuter,,,,,,,http://www.tate.org.uk/art/artists/ingmar-reuter-1830,,
2708.0,13335,Emilio Rivera,,,,,,,http://www.tate.org.uk/art/artists/emilio-rivera-13335,,
2777.0,7965,Russian School,,,,,,,http://www.tate.org.uk/art/artists/russian-school-7965,,
2995.0,13098,Monika Sosnowska,,born 1972,19720.0,,,,http://www.tate.org.uk/art/artists/monika-sosnowska-13098,Q520491,
3023.0,17224,William Staite-Murray,,,,,,,http://www.tate.org.uk/art/artists/william-staite-murray-17224,Q8018707,
3068.0,5739,Adolf Strakhov-Braslavsky,,1896–1979,18960.0,19790.0,,,http://www.tate.org.uk/art/artists/adolf-strakhov-braslavsky-5739,Q4443469,
3133.0,11739,Dalmo Teixeira Filho,,1923–1981,19230.0,19810.0,,,http://www.tate.org.uk/art/artists/dalmo-teixeira-filho-11739,,
3182.0,2537,Tollemache,,,,,,,http://www.tate.org.uk/art/artists/tollemache-2537,,
3192.0,17656,Léonard Cosme Totchemetcheho,,,,,,,http://www.tate.org.uk/art/artists/totche-17656,,
3257.0,17134,V.Ch.K.,,,,,,,http://www.tate.org.uk/art/artists/vchk-17134,,
3261.0,17036,Adolphe Valette,,1876 – 1942,18760.0,19420.0,,,http://www.tate.org.uk/art/artists/adolphe-valette-17036,Q3237916,
3275.0,17129,Vara,,,,,,,http://www.tate.org.uk/art/artists/vara-17129,,
3301.0,2107,Dee Villers,,,,,,,http://www.tate.org.uk/art/artists/dee-villers-2107,,
3305.0,17732,Francis Vivares,,,,,,,http://www.tate.org.uk/art/artists/francis-vivares-17732,Q5493438,
3317.0,11825,Imke Wagener,,born 1971,19710.0,,,,http://www.tate.org.uk/art/artists/imke-wagener-11825,,
3386.0,18071,Richard Westmacott,,1775–1856,17750.0,18560.0,,,http://www.tate.org.uk/art/artists/richard-westmacott-18071,Q6238282,
3522.0,13099,Jakub Julian Ziolkowski,,born 1980,19800.0,,,,http://www.tate.org.uk/art/artists/jakub-julian-ziolkowski-13099,Q1267768,
,657,Shusaku Arakawa,,1936–2010,1936.0,2010.0,"Nagoya, Nihon","New York, United States",http://www.tate.org.uk/art/artists/shusaku-arakawa-657,Q478264,84.0
,14424,Kiyohiko Komura,,1899–1969,1899.0,1969.0,,,http://www.tate.org.uk/art/artists/kiyohiko-komura-14424,Q64826662,1771.0
,16926,Len Lye,,,,,,,http://www.tate.org.uk/art/artists/len-lye-16926,Q1288566,2000.0
,5672,Vladimir Mayakovsky,,1893–1930,1893.0,1930.0,,,http://www.tate.org.uk/art/artists/vladimir-mayakovsky-5672,Q132964,2121.0
,18266,Mithu Sen,,born 1971,1971.0,,,,http://www.tate.org.uk/art/artists/mithu-sen-18266,Q43136922,2870.0
,10428,Christina Broom,,1863–1939,1863.0,1939.0,,,http://www.tate.org.uk/art/artists/christina-broom-10428,Q5110756,411.0
,13086,Juan Downey,,1940–1993,1940.0,1993.0,,,http://www.tate.org.uk/art/artists/juan-downey-13086,Q3817219,897.0
,13568,Jack Goldstein,,1945–2003,1945.0,2003.0,,,http://www.tate.org.uk/art/artists/jack-goldstein-13568,Q1677042,1218.0
,13736,Suzanne Lacy,,born 1945,1945.0,,,,http://www.tate.org.uk/art/artists/suzanne-lacy-13736,Q7650894,1810.0
,2634,Morin,,,,,,,http://www.tate.org.uk/art/artists/morin-2634,Q104382715,2253.0
,11737,Eduardo Salvatore,,1914–2006,1914.0,2006.0,,,http://www.tate.org.uk/art/artists/eduardo-salvatore-11737,Q10270768,2800.0
,12947,Gunther Sander,,1907– 1986,1907.0,1986.0,,,http://www.tate.org.uk/art/artists/gunther-sander-12947,Q61817490,2805.0
,2735,Stephanie Smith,,"born 1968, born 1961",1961.0,,,,http://www.tate.org.uk/art/artists/stephanie-smith-2735,Q100391910,2973.0
,5227,Haim Steinbach,,born 1944,1944.0,,,,http://www.tate.org.uk/art/artists/haim-steinbach-5227,Q5639315,3043.0
,11740,José Yalenti,,1895–1967,1895.0,1967.0,,,http://www.tate.org.uk/art/artists/jose-yalenti-11740,Q20018089,3495.0
,18243,Amar Kanwar,,born 1964,1964.0,,,,http://www.tate.org.uk/art/artists/amar-kanwar-18243,Q454717,1679.0
,10282,Melik Ohanian,,born 1969,1969.0,,,,http://www.tate.org.uk/art/artists/melik-ohanian-10282,Q3305059,2378.0
,5669,Viktor Deni,,1893–1946,1893.0,1946.0,,,http://www.tate.org.uk/art/artists/viktor-deni-5669,Q503993,834.0
,14825,Shelagh Wakely,,1932–2011,1932.0,2011.0,,,http://www.tate.org.uk/art/artists/shelagh-wakely-14825,Q26457496,3319.0
,3807,Samuel Cooper,,1609–1672,1609.0,1672.0,,,http://www.tate.org.uk/art/artists/samuel-cooper-3807,Q1382316,684.0
,12074,Gaspard Dughet,,1615–1675,1615.0,1675.0,,,http://www.tate.org.uk/art/artists/gaspard-dughet-12074,Q741375,922.0
,14308,Eugenio Espinoza,,born 1950,1950.0,,,,http://www.tate.org.uk/art/artists/eugenio-espinoza-14308,Q77349603,979.0
,5645,Nikolai Kogout,,1891–1959,1891.0,1959.0,,,http://www.tate.org.uk/art/artists/nikolai-kogout-5645,Q15068972,1762.0
,17127,Vladimir Kozlinsky,,1891 – 1967,1891.0,1967.0,,,http://www.tate.org.uk/art/artists/vladimir-kozlinsky-17127,Q24351555,1785.0
,17008,James Orrock,,1829–1913,1829.0,1913.0,,,http://www.tate.org.uk/art/artists/james-orrock-17008,Q6140661,2413.0
,13098,Monika Sosnowska,,born 1972,1972.0,,,,http://www.tate.org.uk/art/artists/monika-sosnowska-13098,Q520491,2995.0
,18071,Richard Westmacott,,1775–1856,1775.0,1856.0,,,http://www.tate.org.uk/art/artists/richard-westmacott-18071,Q6238282,3386.0
